id;content;audience;channel;status;scheduled_at;sent_at;tag;error_message;created;created_by;updated;updated_by
1;well about hence;SELECTED_CLIENTS;EMAIL;FAILED;2025-06-15T00:08:54;2025-06-14T20:51:06;ouch postbox;cleverly;2025-06-15T03:24:09;tightly;2025-06-15T12:49:48;atrium
2;ack inscribe given;BY_TAG;WHATSAPP;SCHEDULED;2025-06-15T03:03:24;2025-06-14T18:38:50;concerning;ouch forenenst overvalue;2025-06-15T17:12:06;versus ew;2025-06-14T20:02:27;why mmm qua
3;playfully sorrowful;SELECTED_CLIENTS;SMS;SCHEDULED;2025-06-15T06:28:52;2025-06-14T22:36:04;obvious;ah ack wherever;2025-06-15T07:32:46;yahoo knitting;2025-06-15T07:30:12;curiously paralyse lifestyle
4;near afore;ALL_CLIENTS;WHATSAPP;DRAFT;2025-06-15T16:48:09;2025-06-15T00:38:57;even yum;immediately pine sun;2025-06-15T12:30:04;sans;2025-06-14T19:13:25;among
5;as maestro sheepishly;ALL_CLIENTS;EMAIL;DRAFT;2025-06-15T04:27:28;2025-06-15T15:39:01;scuttle;unexpectedly;2025-06-14T21:41:20;brr;2025-06-15T02:45:37;psst whenever
6;haul hm;BY_LANGUAGE;WHATSAPP;DRAFT;2025-06-15T15:01:04;2025-06-15T08:57:05;word;oh likewise;2025-06-15T04:49:28;aw;2025-06-15T11:47:23;exactly
7;retract surge oof;ALL_CLIENTS;SMS;DRAFT;2025-06-14T20:07:18;2025-06-15T10:47:54;concrete;yuppify ugh pace;2025-06-15T01:23:37;partially weighty carelessly;2025-06-14T21:36:48;tinderbox until
8;tooth hoot ah;SELECTED_CLIENTS;SMS;SENT;2025-06-14T19:25:50;2025-06-15T09:36:05;newsletter;although;2025-06-15T05:44:04;whose;2025-06-15T11:23:14;fully confound
9;because direct;BY_LANGUAGE;SMS;DRAFT;2025-06-15T14:41:16;2025-06-14T20:48:01;aside sandy shore;warm;2025-06-15T02:35:10;freely worthwhile;2025-06-15T09:01:43;hurtful
10;rudely gadzooks jittery;ALL_CLIENTS;WHATSAPP;DRAFT;2025-06-15T09:04:47;2025-06-15T08:49:49;scramble;hoarse buck urgently;2025-06-15T12:23:11;if;2025-06-15T01:38:09;beside discontinue
