id;content;channel;status;sent_at;delivered_at;failed_at;delivery_attempts;error_message;created;created_by;updated;updated_by
1;triumphantly well lest;EMAIL;DELIVERED;2025-06-15T04:49:36;2025-06-15T01:09:45;2025-06-14T14:36:01;2121;now baa;2025-06-15T12:14:52;term alarmed;2025-06-15T04:00:48;sheepishly
2;of yuck;WHATSAPP;SENT;2025-06-14T18:43:45;2025-06-15T00:52:46;2025-06-15T08:51:44;29945;but readily meh;2025-06-15T12:25:34;frequent shipper tensely;2025-06-14T23:41:16;ferociously fine
3;hence failing;EMAIL;PENDING;2025-06-15T01:05:17;2025-06-14T22:29:09;2025-06-15T10:12:11;793;lest consequently;2025-06-15T00:56:16;taro encouragement;2025-06-14T22:16:38;provided yet obedience
4;usually given rapidly;WHATSAPP;SENT;2025-06-15T04:43:07;2025-06-15T04:00:07;2025-06-15T07:25:01;13324;excluding;2025-06-15T02:32:07;showboat because;2025-06-15T12:36:32;plus
5;sweetly miscalculate than;EMAIL;FAILED;2025-06-15T01:38:17;2025-06-15T06:18:30;2025-06-14T18:43:01;12443;unsung;2025-06-15T06:43:53;between;2025-06-15T00:23:08;inside nutritious
6;scaffold;WHATSAPP;DELIVERED;2025-06-15T08:16:28;2025-06-15T00:55:22;2025-06-15T02:49:35;1730;oddly;2025-06-14T17:18:24;around cluttered;2025-06-15T11:15:30;unless ack unhappy
7;construe beautifully;WHATSAPP;FAILED;2025-06-15T03:49:54;2025-06-15T06:42:16;2025-06-15T00:15:26;5856;whether since;2025-06-15T13:13:45;condense;2025-06-15T04:23:09;apropos
8;immediately;EMAIL;DELIVERED;2025-06-14T17:48:26;2025-06-15T09:05:46;2025-06-14T17:19:20;3450;soon out excluding;2025-06-14T16:18:42;cornet confiscate;2025-06-15T10:33:55;painfully
9;shakily pfft;SMS;FAILED;2025-06-15T11:44:48;2025-06-15T05:11:59;2025-06-14T13:52:13;447;notwithstanding puzzled;2025-06-15T12:17:12;safeguard incidentally;2025-06-15T08:17:17;down
10;aha;SMS;PENDING;2025-06-15T05:38:17;2025-06-15T11:43:44;2025-06-15T01:17:36;18425;to than;2025-06-15T03:53:00;warmly memorable;2025-06-14T15:47:31;meanwhile
